EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
1.6,54,M,married,14,personal,7,Y,N,Domestic,0
2,49,M,married,14,personal,7,Y,N,Imported,2257.7
1.6,48,M,married,14,government,7,N,N,Imported,0
1.8,36,M,married,14,company,7,N,N,Domestic,344
1.8,34,M,married,14,company,7,Y,N,Domestic,0
2,34,F,married,14,company,7,N,Y,Domestic,0
1.8,46,M,married,14,government,6,N,N,Domestic,0
1.8,42,M,married,14,government,6,Y,N,Domestic,0
1.8,41,M,married,14,government,6,N,N,Domestic,2112
1.6,38,M,married,14,government,6,N,N,Domestic,0
1.8,38,M,married,14,company,6,N,N,Imported,0
1.6,35,M,married,14,government,6,Y,N,Domestic,0
1.8,49,M,married,14,government,5,Y,N,Imported,0
1.8,43,M,married,14,government,5,Y,N,Domestic,0
2,39,M,married,14,company,5,Y,N,Domestic,2640
1.8,38,M,married,14,company,5,Y,N,Domestic,0
1.8,33,M,married,14,company,5,Y,N,Domestic,0
1.8,49,M,married,14,company,4,Y,N,Domestic,864
1.8,40,M,married,14,government,4,N,N,Domestic,0
2,38,M,married,14,company,4,Y,Y,Imported,0
1.8,36,M,married,14,company,4,Y,N,Imported,576
1.8,36,M,married,14,company,4,Y,N,Domestic,1664
1.8,35,M,married,14,personal,4,Y,Y,Imported,0
1.6,34,M,married,14,company,4,Y,N,Domestic,0
1.8,33,M,married,14,personal,4,Y,N,Domestic,0
2,53,M,married,14,company,3,N,N,Domestic,894.2
1.8,49,M,married,14,personal,3,Y,N,Domestic,0
1,47,M,married,14,company,3,N,N,Domestic,31893
1.8,39,M,married,14,personal,3,N,Y,Domestic,955.2
1.6,38,M,married,14,company,3,Y,N,Domestic,0
2,38,M,married,14,company,3,N,N,Domestic,30480
1.8,36,M,married,14,government,3,Y,N,Domestic,0
1.6,34,M,married,14,government,3,Y,Y,Domestic,426.7
1.8,48,M,married,14,company,2,Y,N,Imported,0
1.8,42,M,married,14,company,2,Y,N,Domestic,0
1.8,41,M,married,14,personal,2,N,N,Domestic,583.3
2,40,M,married,14,company,2,N,N,Domestic,0
1.8,38,M,married,14,government,2,Y,Y,Domestic,1604
1.8,37,M,married,14,company,2,Y,N,Domestic,0
1.8,37,M,married,14,government,2,N,N,Imported,0
2,37,M,married,14,personal,2,Y,N,Imported,10880
1.6,36,M,married,14,personal,2,Y,N,Domestic,0
2,35,M,married,14,company,2,Y,N,Domestic,0
1.6,34,M,married,14,personal,2,Y,N,Imported,0
1.8,34,M,married,14,government,2,Y,N,Domestic,0
2.4,56,M,married,14,personal,1,Y,Y,Imported,0
1.5,52,M,married,14,personal,1,Y,N,Domestic,374
1.8,50,M,married,14,personal,1,Y,Y,Domestic,0
2.3,49,M,married,14,personal,1,Y,Y,Imported,0
1.6,48,M,married,14,company,1,Y,N,Domestic,0
1.6,45,M,married,14,personal,1,Y,N,Domestic,593.9
1,44,M,married,14,personal,1,Y,N,Domestic,0
1,41,F,married,14,personal,1,Y,Y,Domestic,0
1.6,41,M,married,14,personal,1,Y,N,Domestic,4271.2
1.8,41,M,married,14,personal,1,N,Y,Domestic,0
2.8,40,M,married,14,personal,1,Y,Y,Domestic,0
1.8,39,M,married,14,personal,1,Y,Y,Domestic,2549.5
2.8,39,M,married,14,company,1,Y,N,Imported,0
3,38,M,married,14,company,1,Y,Y,Imported,0
1.8,37,M,married,14,personal,1,Y,N,Domestic,1616
2,37,M,married,14,government,1,Y,N,Imported,0
2,36,M,married,14,company,1,Y,N,Imported,480
1.8,35,M,married,14,government,1,Y,N,Domestic,696
2,35,F,married,14,personal,1,Y,Y,Imported,1216
2.4,35,M,married,14,company,1,Y,N,Imported,0
1.6,34,M,married,14,personal,1,N,N,Domestic,0
2,34,M,married,14,personal,1,Y,N,Imported,0
1.8,33,M,married,14,government,1,Y,N,Imported,0
2,33,M,married,14,company,1,Y,N,Imported,0
2.5,33,M,married,14,personal,1,Y,N,Imported,0
1.6,43,M,married,13,personal,10,Y,N,Domestic,0
1.8,36,M,married,13,government,10,Y,N,Domestic,637.6
1.8,40,M,married,13,personal,9,Y,N,Domestic,320
1.8,40,M,married,13,company,9,Y,N,Domestic,3920
1.8,39,M,married,13,company,8,N,N,Imported,0
1.8,37,M,married,13,personal,8,Y,N,Domestic,0
1.8,33,M,married,13,government,8,N,N,Imported,0
1.8,41,M,married,13,government,7,Y,N,Domestic,0
1.6,39,M,married,13,personal,7,Y,N,Domestic,0
1.8,35,M,married,13,government,7,Y,N,Domestic,1720
1.8,34,F,married,13,company,7,Y,Y,Domestic,0
2,55,M,married,13,government,6,N,N,Imported,0
2,44,M,married,13,company,6,N,N,Domestic,0
1,33,M,married,13,personal,6,N,N,Domestic,578.7
1.8,50,M,married,13,government,5,Y,N,Domestic,0
1.8,45,M,married,13,government,5,Y,N,Domestic,0
1.6,41,M,married,13,government,5,Y,Y,Domestic,0
1.8,41,M,married,13,company,5,Y,N,Domestic,0
1.8,37,M,married,13,personal,5,Y,N,Domestic,0
1.8,34,M,married,13,government,5,Y,N,Domestic,0
1.8,34,M,married,13,government,5,Y,N,Domestic,0
1.6,32,M,married,13,government,5,Y,Y,Domestic,0
2,38,M,married,13,company,4,N,N,Imported,0
1.6,36,F,married,13,government,4,N,N,Domestic,0
1.8,34,M,married,13,government,4,Y,N,Domestic,0
1.8,50,M,married,13,personal,3,Y,N,Domestic,0
3,45,M,married,13,company,3,Y,Y,Imported,2904
1.8,44,M,married,13,personal,3,Y,Y,Domestic,0
1.8,42,M,married,13,government,3,Y,N,Domestic,5184
2,41,M,married,13,company,3,N,N,Domestic,0
2,39,M,married,13,company,3,Y,N,Domestic,0
1.8,37,M,married,13,company,3,Y,N,Imported,0
1.8,35,M,married,13,company,3,N,N,Domestic,0
2.5,35,M,married,13,company,3,Y,Y,Imported,20280
1.8,54,F,married,13,company,2,N,N,Domestic,0
1.8,41,M,married,13,company,2,Y,Y,Imported,0
1.8,36,F,married,13,government,2,N,N,Domestic,0
1.8,36,M,married,13,government,2,N,N,Imported,0
1.8,36,M,married,13,company,2,Y,N,Domestic,0
1.8,36,M,married,13,government,2,N,N,Domestic,700
1.6,35,M,married,13,company,2,Y,N,Domestic,0
